employee_id,age,gender,department,job_role,monthly_income,years_at_company,overtime,job_satisfaction,work_life_balance,training_hours,performance_rating,distance_from_home,attrition
EMP00043,44,Female,HR,HR Executive,125235.0,8,Yes,5.0,1.0,62,2,1,Yes
EMP00044,53,Male,Marketing,Marketing Executive,45056.0,15,Yes,5.0,5.0,5,5,39,No
EMP00045,26,Male,Sales,Sales Executive,110067.0,2,Yes,2.0,3.0,61,5,14,Yes
EMP00046,51,Male,Sales,Sales Manager,103781.0,13,Yes,4.0,5.0,20,2,26,No
EMP00047,57,Female,IT,System Admin,81573.0,0,Yes,5.0,2.0,14,5,36,Yes
EMP00048,52,Female,Marketing,Marketing Executive,48289.0,9,Yes,3.0,2.0,5,5,4,No
EMP00049,37,Male,Finance,Financial Analyst,119704.0,1,Yes,4.0,3.0,28,4,35,No
EMP00050,54,Female,Sales,Sales Manager,118610.0,18,No,5.0,4.0,71,1,33,No
EMP00051,50,Male,Finance,Financial Analyst,111027.0,12,Yes,2.0,5.0,39,1,26,Yes
EMP00052,47,Female,Sales,Sales Manager,100353.0,9,Yes,2.0,3.0,11,4,11,No
EMP00053,57,Male,HR,HR Executive,69425.0,3,No,5.0,1.0,28,3,35,No
EMP00054,39,Male,HR,Recruiter,90510.0,16,No,5.0,4.0,59,5,23,No
EMP00055,51,Male,Finance,Accountant,135448.0,16,No,4.0,1.0,17,3,19,No
EMP00056,33,Male,Marketing,Marketing Executive,49466.0,8,Yes,4.0,1.0,75,4,14,No
EMP00057,40,Male,Sales,Sales Executive,33335.0,14,No,5.0,5.0,16,1,21,No
EMP00058,44,Male,Finance,Financial Analyst,52192.0,15,No,5.0,5.0,46,2,39,No
EMP00059,26,Female,Sales,Sales Executive,63102.0,2,Yes,5.0,3.0,79,2,12,No
EMP00060,38,Female,Finance,Financial Analyst,26542.0,5,No,5.0,2.0,13,2,27,No
EMP00061,26,Male,Finance,Financial Analyst,79693.0,4,Yes,3.0,5.0,69,4,17,No
EMP00062,46,Male,IT,Developer,116267.0,12,Yes,4.0,4.0,35,3,39,No
EMP00063,47,Male,Operations,Operations Manager,119246.0,18,Yes,3.0,5.0,17,2,28,No
EMP00064,41,Male,Marketing,SEO Specialist,38116.0,7,Yes,1.0,1.0,7,5,28,No
EMP00065,46,Male,Marketing,Marketing Executive,128333.0,0,Yes,5.0,2.0,48,5,32,Yes
EMP00066,42,Male,Marketing,Marketing Executive,118045.0,15,No,5.0,3.0,40,3,19,No
EMP00067,39,Male,Sales,Sales Executive,42640.0,14,Yes,1.0,1.0,58,3,16,Yes
EMP00068,32,Female,Finance,Financial Analyst,124657.0,11,Yes,4.0,4.0,12,2,28,No
EMP00069,29,Male,Operations,Operations Manager,58307.0,17,No,4.0,5.0,45,4,27,No
EMP00070,38,Female,Finance,Accountant,103752.0,8,No,3.0,4.0,33,5,35,No
EMP00071,39,Male,IT,Developer,74407.0,18,No,5.0,1.0,70,2,30,No
EMP00072,26,Male,Marketing,Marketing Executive,86813.0,0,Yes,1.0,2.0,53,3,21,Yes
EMP00073,46,Male,Marketing,SEO Specialist,71540.0,16,No,1.0,2.0,5,5,6,No
EMP00074,26,Female,Sales,Sales Executive,129293.0,4,No,3.0,5.0,27,5,37,No
EMP00075,40,Female,HR,Recruiter,138748.0,16,Yes,1.0,1.0,55,5,13,Yes
EMP00076,22,Male,Operations,Operations Manager,70543.0,16,Yes,2.0,4.0,76,2,34,Yes
EMP00077,24,Male,IT,Developer,62131.0,17,Yes,1.0,4.0,9,3,17,Yes
EMP00078,44,Male,IT,Data Analyst,26252.0,14,No,5.0,2.0,79,3,39,Yes
EMP00079,55,Female,HR,Recruiter,132825.0,5,No,2.0,2.0,34,3,34,Yes
EMP00080,59,Female,Sales,Sales Executive,122239.0,0,No,4.0,2.0,55,1,5,No
EMP00081,31,Female,Sales,Sales Executive,112369.0,16,Yes,1.0,4.0,73,2,6,Yes
EMP00082,34,Male,Operations,Operations Manager,37015.0,10,No,3.0,3.0,27,3,16,No
EMP00083,25,Male,Marketing,SEO Specialist,108807.0,2,Yes,3.0,3.0,36,2,19,No
EMP00084,39,Male,Sales,Sales Executive,61668.0,9,No,5.0,1.0,9,1,12,No
EMP00085,55,Female,Marketing,Marketing Executive,116865.0,16,Yes,5.0,3.0,77,2,22,Yes
EMP00086,51,Female,Sales,Sales Manager,44262.0,10,Yes,5.0,1.0,30,4,1,Yes
EMP00087,56,Male,IT,Developer,25302.0,19,Yes,2.0,4.0,6,5,26,Yes
EMP00088,28,Female,IT,System Admin,43030.0,2,Yes,3.0,4.0,22,2,38,No
EMP00089,36,Male,HR,HR Executive,35267.0,4,No,2.0,1.0,21,2,25,No
EMP00090,41,Female,Sales,Sales Executive,32561.0,3,No,3.0,1.0,22,4,22,No
EMP00091,29,Female,Operations,Operations Executive,106264.0,7,Yes,4.0,3.0,46,1,37,No
EMP00092,47,Female,Operations,Operations Executive,100703.0,1,Yes,3.0,5.0,74,5,33,Yes
EMP00093,42,Male,Finance,Accountant,26605.0,5,No,4.0,3.0,66,1,3,No
EMP00094,58,Male,IT,Data Analyst,34111.0,3,Yes,2.0,4.0,79,4,15,No
EMP00095,51,Female,Sales,Sales Executive,38234.0,5,No,1.0,2.0,79,2,5,Yes
EMP00096,25,Female,IT,Developer,83067.0,18,No,1.0,4.0,16,1,26,No
EMP00097,59,Female,Operations,Operations Manager,26917.0,4,Yes,3.0,4.0,7,1,6,Yes
EMP00098,31,Male,Sales,Sales Manager,112958.0,4,No,2.0,4.0,6,5,2,Yes
EMP00099,58,Female,Sales,Sales Executive,44216.0,8,No,1.0,3.0,19,3,30,Yes
EMP00100,26,Female,Operations,Operations Manager,67929.0,11,Yes,5.0,3.0,13,2,12,No
EMP00101,22,Female,Finance,Accountant,61159.0,7,Yes,4.0,5.0,76,3,37,Yes
EMP00102,51,Male,Operations,Operations Manager,111740.0,2,Yes,5.0,5.0,30,4,25,No
EMP00103,46,Male,IT,Data Analyst,68303.0,17,No,3.0,5.0,42,1,23,No
EMP00104,54,Male,Marketing,SEO Specialist,59016.0,16,No,2.0,5.0,55,3,6,No
EMP00105,28,Female,Marketing,SEO Specialist,49519.0,18,No,2.0,4.0,19,5,33,No
EMP00106,48,Male,Finance,Financial Analyst,76356.0,3,Yes,1.0,1.0,31,1,4,Yes
EMP00107,31,Male,Finance,Financial Analyst,137250.0,4,No,2.0,1.0,42,5,31,Yes
EMP00108,45,Female,Finance,Accountant,65631.0,19,No,5.0,5.0,33,4,12,No
EMP00109,48,Female,HR,Recruiter,64666.0,18,No,4.0,4.0,30,3,27,No
EMP00110,32,Male,Finance,Financial Analyst,134415.0,9,No,2.0,3.0,16,2,13,Yes
EMP00111,39,Male,Operations,Operations Executive,81942.0,0,No,4.0,3.0,72,5,37,No
EMP00112,49,Male,Marketing,SEO Specialist,144797.0,8,Yes,3.0,5.0,44,1,22,No
EMP00113,22,Male,Operations,Operations Manager,47116.0,13,Yes,5.0,2.0,40,1,1,No
EMP00114,36,Male,HR,HR Executive,81264.0,14,Yes,5.0,1.0,78,4,26,Yes
EMP00115,46,Female,Finance,Accountant,98509.0,10,No,2.0,2.0,38,3,17,No
EMP00116,45,Female,Operations,Operations Executive,95835.0,6,No,5.0,1.0,53,5,22,No
EMP00117,42,Male,Finance,Accountant,87539.0,16,Yes,1.0,4.0,53,4,22,Yes
EMP00118,28,Male,Sales,Sales Manager,26759.0,0,Yes,5.0,3.0,60,3,32,Yes
EMP00119,50,Male,Operations,Operations Manager,118607.0,15,Yes,3.0,2.0,5,3,2,No
EMP00120,51,Male,Sales,Sales Manager,50522.0,5,No,4.0,1.0,12,5,39,No
EMP00121,31,Female,Operations,Operations Manager,100629.0,9,No,2.0,4.0,59,4,32,No
EMP00122,50,Male,Marketing,SEO Specialist,140520.0,7,No,1.0,3.0,63,5,8,Yes
EMP00123,58,Male,Finance,Financial Analyst,87539.0,2,No,1.0,4.0,12,2,35,Yes
EMP00124,35,Male,Marketing,SEO Specialist,109458.0,13,No,4.0,4.0,41,5,14,No
EMP00125,39,Female,Finance,Accountant,29425.0,6,Yes,1.0,5.0,23,5,19,Yes
EMP00126,39,Female,IT,Data Analyst,67880.0,1,Yes,5.0,4.0,15,2,2,Yes
EMP00127,33,Male,HR,HR Executive,39596.0,19,No,5.0,1.0,57,4,35,No
EMP00128,43,Male,Operations,Operations Executive,54975.0,11,Yes,1.0,2.0,34,3,23,Yes
EMP00129,38,Female,Finance,Financial Analyst,60954.0,17,No,1.0,1.0,44,2,25,Yes
EMP00130,43,Male,Finance,Accountant,76693.0,10,No,4.0,2.0,62,5,34,No
EMP00131,32,Female,Finance,Accountant,122425.0,5,No,5.0,2.0,45,2,17,No
EMP00132,59,Female,Sales,Sales Manager,26622.0,11,No,5.0,2.0,31,1,31,No
EMP00133,55,Female,Finance,Accountant,71828.0,11,Yes,1.0,5.0,75,2,17,Yes
EMP00134,49,Female,IT,Data Analyst,111145.0,13,Yes,4.0,3.0,69,3,36,No
EMP00135,50,Female,Finance,Financial Analyst,145103.0,10,Yes,3.0,3.0,63,3,34,No
EMP00136,45,Male,Finance,Accountant,114399.0,4,No,1.0,2.0,40,4,19,No
EMP00137,38,Male,Marketing,Marketing Executive,63890.0,12,No,2.0,1.0,30,2,9,Yes
EMP00138,38,Male,HR,Recruiter,59008.0,0,Yes,5.0,3.0,46,1,39,Yes
EMP00139,58,Female,IT,Data Analyst,131667.0,11,Yes,3.0,2.0,16,3,37,Yes
EMP00140,38,Female,Finance,Financial Analyst,61408.0,9,No,1.0,4.0,66,3,8,No
EMP00141,38,Female,IT,Data Analyst,92957.0,4,Yes,1.0,2.0,16,3,26,Yes
EMP00142,47,Male,Finance,Accountant,52935.0,14,No,2.0,1.0,27,2,21,Yes
EMP00143,28,Male,HR,HR Executive,62198.0,13,Yes,5.0,1.0,52,2,23,No
EMP00144,52,Male,HR,HR Executive,50510.0,19,Yes,3.0,2.0,63,2,39,Yes
EMP00145,52,Female,HR,HR Executive,60435.0,2,Yes,4.0,5.0,7,5,26,No
EMP00146,36,Female,Marketing,Marketing Executive,69547.0,16,No,5.0,1.0,17,2,33,No
EMP00147,23,Male,IT,Developer,77393.0,2,Yes,2.0,3.0,17,5,18,No
EMP00148,56,Male,IT,Developer,132309.0,6,No,4.0,5.0,66,1,29,No
EMP00149,37,Female,Marketing,SEO Specialist,83606.0,11,Yes,1.0,2.0,34,1,39,Yes
EMP00150,22,Male,Sales,Sales Executive,27050.0,16,No,5.0,2.0,72,2,37,Yes
EMP00151,22,Male,Operations,Operations Executive,137590.0,13,No,1.0,1.0,72,4,37,No
EMP00152,27,Female,Marketing,SEO Specialist,149343.0,6,Yes,3.0,5.0,29,4,4,Yes
EMP00153,41,Male,Marketing,SEO Specialist,126868.0,18,No,2.0,3.0,61,2,3,No
EMP00154,26,Female,Finance,Accountant,98781.0,4,No,1.0,1.0,24,2,35,No
EMP00155,38,Male,Operations,Operations Manager,53831.0,2,No,3.0,5.0,77,4,14,No
EMP00156,32,Female,HR,Recruiter,136543.0,8,No,3.0,3.0,33,1,3,No
EMP00157,33,Female,Finance,Financial Analyst,54192.0,9,Yes,1.0,5.0,15,3,34,Yes
EMP00158,36,Female,Sales,Sales Manager,105199.0,5,Yes,3.0,5.0,52,2,18,Yes
EMP00159,34,Female,Finance,Financial Analyst,111988.0,4,Yes,1.0,2.0,44,5,32,Yes
EMP00160,24,Male,Finance,Financial Analyst,55561.0,7,No,3.0,5.0,37,3,16,No
EMP00161,54,Female,HR,Recruiter,108624.0,15,No,5.0,3.0,49,1,36,No
EMP00162,59,Female,IT,System Admin,88620.0,6,Yes,3.0,5.0,62,1,31,No
EMP00163,31,Male,Marketing,Marketing Executive,102236.0,10,Yes,2.0,4.0,6,5,29,Yes
EMP00164,23,Female,Operations,Operations Manager,85461.0,12,Yes,3.0,1.0,21,2,24,No
EMP00165,27,Female,Operations,Operations Manager,72517.0,18,No,2.0,1.0,67,4,15,No
EMP00166,50,Female,Sales,Sales Executive,97595.0,3,Yes,4.0,2.0,72,3,17,No
EMP00167,38,Female,Finance,Accountant,34077.0,9,No,1.0,2.0,54,5,12,No
EMP00168,56,Female,Finance,Financial Analyst,125732.0,19,No,4.0,5.0,15,1,6,No
EMP00169,53,Female,IT,System Admin,52082.0,18,No,2.0,2.0,50,2,29,No
EMP00170,56,Male,IT,Data Analyst,122768.0,12,Yes,5.0,5.0,79,4,32,Yes
EMP00171,35,Female,Operations,Operations Executive,28093.0,19,Yes,3.0,3.0,71,1,28,No
EMP00172,37,Male,Operations,Operations Executive,53602.0,4,Yes,4.0,3.0,61,5,3,No
EMP00173,59,Female,Operations,Operations Manager,101961.0,14,No,5.0,3.0,68,1,25,No
EMP00174,39,Female,Sales,Sales Executive,48019.0,14,Yes,3.0,4.0,50,1,17,Yes
EMP00175,29,Female,IT,Developer,107970.0,14,Yes,2.0,4.0,75,3,29,Yes
EMP00176,45,Female,Operations,Operations Executive,87539.0,2,Yes,1.0,1.0,13,1,22,Yes
EMP00177,23,Male,Sales,Sales Manager,148274.0,7,No,5.0,1.0,76,5,18,No
EMP00178,39,Female,Sales,Sales Executive,87046.0,13,No,3.0,5.0,37,4,38,No
EMP00179,32,Female,Finance,Financial Analyst,71167.0,18,Yes,1.0,1.0,50,4,20,Yes
EMP00180,53,Female,Sales,Sales Manager,88483.0,17,Yes,1.0,2.0,37,1,13,Yes
EMP00181,34,Female,Sales,Sales Manager,81985.0,19,Yes,2.0,2.0,50,2,15,Yes
EMP00182,32,Male,Marketing,Marketing Executive,74786.0,2,Yes,1.0,1.0,36,1,12,No
EMP00183,49,Male,Marketing,SEO Specialist,38629.0,19,Yes,3.0,3.0,8,2,22,Yes
EMP00184,24,Male,Sales,Sales Manager,147555.0,8,No,2.0,3.0,16,4,13,No
EMP00185,40,Female,Finance,Financial Analyst,77579.0,13,No,5.0,5.0,57,3,18,No
EMP00186,40,Male,IT,System Admin,139015.0,4,Yes,1.0,3.0,7,4,10,Yes
EMP00187,50,Female,HR,HR Executive,123656.0,14,Yes,4.0,1.0,35,2,24,Yes
EMP00188,25,Male,HR,HR Executive,126757.0,11,Yes,4.0,4.0,28,2,32,No
EMP00189,55,Female,HR,HR Executive,68585.0,3,No,2.0,4.0,10,2,12,No
EMP00190,39,Female,Operations,Operations Manager,109878.0,7,Yes,1.0,3.0,30,4,30,Yes
EMP00191,35,Female,HR,Recruiter,74153.0,13,No,5.0,5.0,42,5,14,No
EMP00192,46,Female,Sales,Sales Executive,131625.0,19,Yes,1.0,3.0,32,2,35,No
EMP00193,22,Male,Finance,Accountant,111475.0,7,Yes,4.0,5.0,27,3,10,Yes
EMP00194,35,Male,IT,Developer,149873.0,15,Yes,5.0,2.0,5,5,20,No
EMP00195,33,Female,HR,Recruiter,133856.0,0,No,4.0,4.0,41,5,12,No
EMP00196,49,Female,Sales,Sales Manager,92278.0,14,No,4.0,3.0,65,4,14,No
EMP00197,58,Female,IT,System Admin,25281.0,19,No,3.0,1.0,39,5,5,Yes
EMP00198,35,Female,Sales,Sales Executive,144273.0,11,No,4.0,5.0,47,2,25,No
EMP00199,52,Male,Marketing,SEO Specialist,31570.0,14,Yes,2.0,4.0,42,4,23,Yes
EMP00200,37,Female,HR,HR Executive,68753.0,17,Yes,4.0,2.0,5,5,32,Yes
EMP00201,43,Female,HR,Recruiter,73320.0,14,No,2.0,3.0,78,2,18,No
EMP00202,29,Female,HR,Recruiter,121999.0,14,Yes,1.0,4.0,76,1,4,No
EMP00203,40,Female,Finance,Financial Analyst,137269.0,15,No,5.0,5.0,66,4,2,No
EMP00204,27,Male,IT,System Admin,85576.0,8,Yes,1.0,1.0,52,5,9,Yes
EMP00205,52,Female,IT,Data Analyst,64882.0,8,No,4.0,2.0,8,3,6,No
EMP00206,34,Male,Operations,Operations Manager,138942.0,8,No,3.0,5.0,79,1,24,No
EMP00207,28,Female,Sales,Sales Manager,114152.0,14,No,4.0,2.0,75,5,19,No
EMP00208,46,Male,Sales,Sales Manager,135896.0,0,No,1.0,3.0,48,2,11,No
EMP00209,35,Male,Finance,Accountant,50537.0,9,No,1.0,3.0,30,2,6,No
EMP00210,50,Female,Marketing,SEO Specialist,46636.0,11,Yes,2.0,5.0,48,4,15,Yes
EMP00211,44,Male,HR,Recruiter,106709.0,5,No,2.0,4.0,47,5,21,Yes
EMP00212,37,Male,Finance,Financial Analyst,118300.0,14,Yes,4.0,1.0,40,3,15,Yes
EMP00213,34,Male,Operations,Operations Executive,71881.0,18,No,5.0,4.0,56,3,29,No
EMP00214,56,Female,Marketing,Marketing Executive,146999.0,7,Yes,2.0,4.0,34,2,2,Yes
EMP00215,25,Female,HR,HR Executive,124590.0,10,Yes,4.0,2.0,43,5,31,No
EMP00216,57,Female,Operations,Operations Executive,132971.0,19,No,1.0,4.0,49,2,13,No
EMP00217,42,Female,Marketing,SEO Specialist,77249.0,8,No,1.0,2.0,46,1,26,Yes
EMP00218,25,Female,Finance,Accountant,130111.0,17,Yes,3.0,4.0,64,2,25,Yes
EMP00219,57,Male,Finance,Accountant,93576.0,9,Yes,2.0,5.0,51,1,35,No
EMP00220,54,Female,IT,Data Analyst,66621.0,16,No,5.0,3.0,75,3,10,No
EMP00221,34,Female,Sales,Sales Manager,42727.0,1,No,3.0,5.0,22,3,39,No
EMP00222,32,Female,HR,Recruiter,134847.0,6,No,4.0,3.0,72,2,38,No
EMP00223,57,Female,IT,System Admin,137356.0,7,No,1.0,4.0,7,1,8,No
EMP00224,27,Male,IT,Developer,140395.0,8,No,5.0,1.0,64,2,5,Yes
EMP00225,53,Male,HR,Recruiter,81549.0,7,No,2.0,3.0,48,5,3,Yes
EMP00226,23,Female,Operations,Operations Manager,44201.0,11,No,1.0,3.0,34,4,8,No
EMP00227,57,Female,Operations,Operations Executive,67828.0,4,Yes,5.0,1.0,59,2,30,Yes
EMP00228,37,Male,HR,Recruiter,54328.0,11,No,4.0,4.0,7,5,23,No
EMP00229,26,Male,Sales,Sales Manager,87711.0,19,Yes,4.0,1.0,34,5,20,No
EMP00230,39,Male,Finance,Accountant,116878.0,7,No,1.0,5.0,20,4,38,Yes
EMP00231,35,Female,IT,Data Analyst,144264.0,3,Yes,2.0,5.0,70,1,21,Yes
EMP00232,30,Female,IT,System Admin,80114.0,0,No,3.0,4.0,66,2,4,No
EMP00233,27,Male,Operations,Operations Manager,115517.0,2,Yes,3.0,4.0,16,1,38,No
EMP00234,56,Male,HR,Recruiter,88133.0,9,Yes,3.0,4.0,18,1,15,No
EMP00235,23,Male,Finance,Accountant,77130.0,1,No,2.0,4.0,14,1,2,Yes
EMP00236,54,Male,HR,Recruiter,98822.0,3,Yes,1.0,5.0,56,3,35,Yes
EMP00237,46,Female,IT,Developer,73244.0,12,No,2.0,5.0,72,1,15,No
EMP00238,33,Male,IT,Data Analyst,99270.0,12,Yes,4.0,2.0,64,5,2,No
EMP00239,40,Male,Marketing,SEO Specialist,104364.0,18,Yes,3.0,2.0,14,1,2,Yes
EMP00240,52,Female,HR,HR Executive,50032.0,14,Yes,3.0,1.0,25,1,28,Yes
EMP00241,28,Male,Finance,Accountant,148279.0,15,No,4.0,1.0,8,4,39,No
EMP00242,58,Female,Operations,Operations Manager,59171.0,6,No,4.0,5.0,56,4,38,No
EMP00243,58,Female,Operations,Operations Executive,82022.0,19,No,5.0,3.0,11,3,28,No
EMP00244,28,Male,Operations,Operations Executive,129444.0,4,No,5.0,2.0,66,3,21,Yes
EMP00245,36,Female,IT,System Admin,49022.0,9,No,2.0,5.0,69,5,21,No
EMP00246,42,Female,Operations,Operations Manager,72076.0,17,No,5.0,4.0,64,3,21,No
EMP00247,47,Female,HR,Recruiter,50121.0,3,Yes,4.0,4.0,56,5,38,No
EMP00248,34,Female,HR,Recruiter,78352.0,16,No,1.0,1.0,45,1,2,Yes
EMP00249,50,Male,Operations,Operations Manager,114097.0,0,No,2.0,2.0,64,5,28,Yes
EMP00250,55,Male,IT,Developer,53602.0,7,No,1.0,1.0,64,5,19,Yes
EMP00251,22,Female,IT,Developer,66991.0,4,Yes,5.0,1.0,47,1,24,Yes
EMP00252,38,Female,Operations,Operations Executive,41531.0,4,Yes,5.0,2.0,35,4,11,No
EMP00253,40,Male,Operations,Operations Executive,89027.0,6,No,3.0,3.0,62,5,5,No
EMP00254,53,Female,Finance,Accountant,30439.0,7,Yes,2.0,4.0,12,1,9,Yes
EMP00255,24,Female,Sales,Sales Manager,75979.0,16,No,4.0,1.0,45,1,10,No
EMP00256,33,Male,HR,HR Executive,42153.0,7,No,5.0,5.0,36,4,34,No
EMP00257,36,Male,Marketing,SEO Specialist,83279.0,16,No,2.0,1.0,29,3,14,Yes
EMP00258,46,Female,Finance,Financial Analyst,117949.0,17,Yes,4.0,4.0,48,3,21,Yes
EMP00259,53,Male,Finance,Accountant,101272.0,6,Yes,4.0,1.0,51,2,21,No
EMP00260,42,Female,Operations,Operations Manager,123605.0,7,Yes,4.0,3.0,26,3,25,No
EMP00261,50,Female,Finance,Accountant,110457.0,12,Yes,2.0,5.0,56,3,31,Yes
EMP00262,44,Female,Finance,Financial Analyst,82804.0,11,No,3.0,5.0,65,1,3,No
EMP00263,40,Male,Operations,Operations Manager,129555.0,6,Yes,1.0,5.0,12,2,16,No
EMP00264,26,Female,Finance,Accountant,107368.0,2,Yes,4.0,3.0,68,2,34,Yes
EMP00265,31,Female,Operations,Operations Executive,105102.0,13,No,3.0,3.0,70,1,13,No
EMP00266,57,Male,Operations,Operations Manager,44033.0,9,Yes,2.0,4.0,18,1,34,No
EMP00267,41,Female,Sales,Sales Executive,61751.0,10,No,3.0,3.0,62,4,4,No
EMP00268,45,Male,Sales,Sales Executive,48705.0,2,Yes,5.0,5.0,58,5,10,No
EMP00269,25,Female,Finance,Financial Analyst,40379.0,12,No,1.0,4.0,18,3,24,Yes
EMP00270,25,Female,Marketing,Marketing Executive,41029.0,1,Yes,2.0,3.0,35,4,19,Yes
EMP00271,40,Female,Finance,Financial Analyst,87539.0,12,Yes,2.0,5.0,35,4,19,Yes
EMP00272,57,Male,Operations,Operations Manager,149086.0,16,No,1.0,2.0,67,4,28,No
EMP00273,32,Female,Finance,Accountant,102984.0,12,Yes,1.0,4.0,24,3,15,Yes
EMP00274,35,Female,Operations,Operations Manager,139534.0,10,Yes,1.0,3.0,20,5,10,Yes
EMP00275,34,Male,Finance,Financial Analyst,118808.0,10,Yes,5.0,1.0,55,5,19,Yes
EMP00276,47,Male,Finance,Accountant,119788.0,18,Yes,5.0,5.0,53,5,10,No
EMP00277,57,Male,Sales,Sales Manager,51201.0,5,Yes,4.0,2.0,39,1,24,No
EMP00278,27,Male,Marketing,Marketing Executive,38493.0,8,Yes,4.0,4.0,64,1,31,No
EMP00279,46,Male,Marketing,Marketing Executive,48252.0,3,No,4.0,2.0,34,4,7,No
EMP00280,49,Female,HR,HR Executive,42015.0,13,Yes,2.0,2.0,74,4,9,Yes
EMP00281,41,Male,HR,Recruiter,43681.0,17,Yes,3.0,1.0,25,4,33,No
EMP00282,27,Male,Operations,Operations Executive,39289.0,14,Yes,3.0,4.0,19,5,26,Yes
EMP00283,35,Female,IT,Developer,43745.0,4,Yes,5.0,2.0,73,3,23,Yes
EMP00284,45,Male,HR,Recruiter,43322.0,16,Yes,3.0,1.0,16,1,33,Yes
EMP00285,25,Male,Operations,Operations Manager,40352.0,9,Yes,1.0,1.0,28,5,34,Yes
EMP00286,43,Female,Finance,Financial Analyst,111544.0,16,Yes,2.0,2.0,69,2,21,Yes
